,71.M.S.6,65.M.S.6,47.M.S.6,44.M.S.6,67.M.S.6,269.M.S.6,270.M.S.6,272.M.S.6,22.M.S.5,12.M.S.6,186.M.C.6,187.M.C.6,191.M.C.6,192.M.C.6,198.M.C.6,228.M.C.6,229.M.C.6,236.M.C.6,242.M.C.6,252.M.C.6,255.M.C.6,256.M.C.6,259.M.C.6
Chenodeoxycholic acid,1.134851138,0.100529101,0.094202899,1.386904762,2.570815451,1.494444444,2.784615385,1.691025641,5.263721553,0.318359375,3.798479087,3.538659794,2.122670807,1.133333333,0.369565217,0.637554585,0.083823529,1.550774527,0.698214286,0.787658802,4.037626628,10.55696203,3.979166667
Cholate,0.019264448,0.024691358,0.007246377,0.077380952,0.030042918,1.194444444,0.873076923,0.219230769,0.022757697,0.047851563,0.503802281,0.494845361,0.029503106,0.123076923,0.443478261,0.482532751,0.036764706,0.500860585,0.919642857,0.059891107,0.073806078,0.546413502,0.911458333
Choline,1.371278459,1.793650794,2.152173913,1.0625,2.236051502,0.444444444,0.376923077,0.532051282,0.380187416,1.408203125,0.228136882,0.340206186,0.291925466,0.453846154,0.169565217,0.358078603,1.080882353,0.084337349,1.167857143,0.225045372,0.218523878,0.835443038,0.419270833
Cytidine monophosphate,0.42732049,0.48324515,0.611111111,0.964285714,3.231759657,0.738888889,2.153846154,0.505128205,0.927710843,0.220703125,0.961977186,1.005154639,0.785714286,1.351282051,0.45942029,0.805676856,0.432352941,0.376936317,0.282142857,0.671506352,0.400868307,0.44092827,0.7734375
D-Glucose,8.607705779,5.781305115,3.316425121,1.592261905,10.8111588,1.313888889,3.069230769,1.902564103,0.848728246,3.315429688,1.633079848,1.608247423,3.419254658,2.746153846,0.6,1.624454148,7.513235294,0.230636833,0.7125,1.172413793,0.458755427,1.455696203,0.5234375
Dimethylamine,0.024518389,0.014109347,0.02173913,0.133928571,0.051502146,0.022222222,0.023076923,0.006410256,0.018741633,0.005859375,0.007604563,0.012886598,0.007763975,0.015384615,0.008695652,0.013100437,0.004411765,0.015490534,0.007142857,0.005444646,0.00723589,0.018987342,0.013020833
Ferulate,0.141856392,0.121693122,0.157004831,0.360119048,0.618025751,0.477777778,0.526923077,0.135897436,0.080321285,0.0703125,0.480988593,0.649484536,0.172360248,0.469230769,0.289855072,0.480349345,0.104411765,0.089500861,0.416071429,0.335753176,0.214182344,0.248945148,0.486979167
Formate,1.308231173,2.052910053,1.393719807,2.410714286,2.78111588,1.147222222,1.603846154,0.435897436,0.646586345,0.451171875,0.923954373,1.304123711,0.754658385,1.294871795,0.842028986,1.091703057,0.741176471,0.60929432,1.025,0.918330309,0.636758321,0.951476793,1.307291667
Fucose,0.541155867,0.255731922,1.077294686,1.142857143,2.56223176,0.775,1.838461538,0.617948718,0.623828648,0.526367188,0.963878327,0.948453608,0.833850932,1.169230769,0.717391304,0.829694323,0.617647059,0.555938038,0.551785714,0.974591652,0.455861071,1.337552743,0.6015625
Fumarate,0.134851138,0.116402116,0.166666667,0.375,0.326180258,0.272222222,0.276923077,0.06025641,0.163319946,0.1953125,0.163498099,0.12628866,0.114906832,0.261538462,0.079710145,0.074235808,0.085294118,0.079173838,0.071428571,0.087114338,0.153400868,0.14978903,0.338541667
Galactose,3.814360771,2.358024691,6.043478261,3.255952381,11.05150215,2.744444444,4.015384615,2.661538462,2.137884873,3.241210938,3.910646388,3.889175258,5.035714286,5.702564103,1.923188406,3.427947598,3.363235294,2.060240964,2.210714286,2.78584392,1.645441389,4.510548523,1.854166667
Glucose 1-phosphate,1.208406305,4.088183422,2.224637681,0.613095238,2.21888412,0.375,0.346153846,0.13974359,0.669344043,0.549804688,1.520912548,1.902061856,0.72515528,0.512820513,0.789855072,2.462882096,2.039705882,0.325301205,1.342857143,0.255898367,0.251808973,0.26371308,0.395833333
Glutamate,4.028021016,3.716049383,9.166666667,2.401785714,10.54077253,1.891666667,4.438461538,2.993589744,7.21686747,2.788085938,2.266159696,2.636597938,3.465838509,2.4,0.985507246,1.796943231,5.347058824,0.944922547,1.923214286,1.105263158,1.551374819,2.339662447,2.0546875
Glutamine,0.823117338,1.02292769,1.002415459,0.910714286,1.313304721,0.930555556,2.003846154,0.51025641,0.414993307,0.446289063,1.346007605,1.103092784,0.566770186,1.305128205,1.133333333,0.694323144,1.052941176,0.946643718,1.205357143,0.426497278,0.264833575,0.706751055,0.572916667
Glycine,1.1558669,1.315696649,1.789855072,0.827380952,2.399141631,1.180555556,1.415384615,0.835897436,1.136546185,0.833984375,1.589353612,1.103092784,1.559006211,1.266666667,0.349275362,0.962882096,1.911764706,0.273666093,0.683928571,0.370235935,0.377713459,0.801687764,0.674479167
Glycocholate,0.049036778,0.031746032,0.02173913,0.035714286,0.115879828,0.052777778,0.165384615,0.187179487,0.147255689,0.083007813,0.262357414,0.231958763,0.043478261,0.048717949,0.023188406,0.030567686,0.020588235,0.197934596,0.0375,0.099818512,0.164978292,0.687763713,0.21875
Guanosine monophosphate,0.528896673,1.074074074,1.323671498,0.717261905,1.021459227,1.088888889,3.05,1.458974359,0.323962517,0.546875,1.271863118,1.296391753,1.304347826,1.679487179,0.466666667,0.836244541,1.185294118,0.800344234,0.875,0.813067151,0.929088278,1.860759494,1.440104167
Hexanoylcarnitine,0.054290718,0.130511464,0.11352657,1.5625,0.167381974,0.422222222,0.169230769,0.051282051,0.070950469,0.05859375,0.30418251,0.172680412,0.091614907,0.266666667,0.331884058,0.286026201,0.163235294,0.04302926,0.219642857,0.049001815,0.054992764,0.054852321,0.106770833
Histamine,0.126094571,0.380952381,0.224637681,0.49702381,0.377682403,0.294444444,0.234615385,0.082051282,0.127175368,0.236328125,0.19581749,0.139175258,0.200310559,0.215384615,0.185507246,0.172489083,0.189705882,0.046471601,0.217857143,0.2323049,0.230101302,0.221518987,0.200520833
Histidine,0.518388792,0.522045855,0.528985507,0.446428571,1.021459227,0.180555556,0.407692308,0.102564103,0.34939759,0.25,0.174904943,0.090206186,0.153726708,0.158974359,0.149275362,0.179039301,0.254411765,0.075731497,0.130357143,0.154264973,0.069464544,0.160337553,0.174479167
Hypoxanthine,0.087565674,0.051146384,0.043478261,0.077380952,0.334763948,0.061111111,0.157692308,0.041025641,0.038821954,0.036132813,0.041825095,0.038659794,0.034161491,0.087179487,0.02173913,0.041484716,0.030882353,0.025817556,0.030357143,0.058076225,0.095513748,0.137130802,0.057291667
Inosine,0.367775832,0.924162257,1.449275362,0.071428571,0.463519313,0.033333333,0.138461538,0.307692308,0.176706827,0.158203125,0.034220532,0.046391753,0.326086957,0.135897436,0.04057971,0.048034934,0.480882353,0.027538726,0.023214286,0.067150635,0.05788712,0.168776371,0.046875
Isobutyrate,0.80385289,0.467372134,0.949275362,0.607142857,1.072961373,2.208333333,1.546153846,0.387179487,0.309236948,0.353515625,1.347908745,0.530927835,2.316770186,3.374358974,0.685507246,0.449781659,0.929411765,0.194492255,2.210714286,0.97277677,0.916063676,1.20464135,1.138020833
Isoleucine,1.012259194,1.331569665,1.403381643,0.62797619,3.253218884,0.888888889,1.061538462,0.593589744,1.012048193,0.978515625,0.741444867,0.634020619,0.816770186,1.258974359,0.260869565,0.469432314,1.694117647,0.137693632,0.691071429,0.540834846,0.315484805,0.556962025,0.411458333
Isovalerate,0.206654991,0.165784832,0.224637681,0.053571429,0.077253219,0.030555556,0.069230769,0.051282051,0.135207497,0.107421875,0.068441065,0.067010309,0.107142857,0.043589744,0.046376812,0.045851528,0.110294118,0.032702238,0.051785714,0.059891107,0.031837916,0.042194093,0.033854167
L-Arginine,0.273204904,0.363315697,0.548309179,0.279761905,0.944206009,0.319444444,0.319230769,0.135897436,0.15394913,0.16796875,0.336501901,0.239690722,0.279503106,0.351282051,0.134782609,0.23580786,0.379411765,0.04475043,0.5625,0.152450091,0.095513748,0.187763713,0.091145833
Lactate,12.16812609,3.126984127,6.623188406,24.99107143,2.832618026,59.31388889,7.376923077,2.691025641,5.741633199,10.53320313,14.7851711,12.95103093,9.52173913,21.68205128,5.414492754,11.02401747,5.954411765,1.908777969,11.55535714,8.145190563,6.81186686,8.841772152,18.35416667
Leucine,1.334500876,1.733686067,2.074879227,1.056547619,4.420600858,1.588888889,1.407692308,0.679487179,1.250334672,1.318359375,1.176806084,0.914948454,1.329192547,2.207692308,0.586956522,0.969432314,1.888235294,0.294320138,1.178571429,0.713248639,0.444283647,1.002109705,0.770833333
Lysine,2.50262697,3.687830688,6.492753623,2.693452381,7.175965665,3.936111111,3.157692308,1.933333333,2.870147256,2.548828125,1.688212928,1.453608247,3.198757764,3.138461538,0.808695652,1.563318777,4.257352941,0.671256454,2.898214286,1.838475499,1.289435601,2.635021097,2.2734375
Malonate,0.245183888,0.176366843,0.140096618,0.074404762,0.248927039,0.080555556,0.084615385,0.043589744,0.203480589,0.0703125,0.043726236,0.082474227,0.027950311,0.153846154,0.044927536,0.06768559,0.075,0.061962134,0.055357143,0.092558984,0.056439942,0.113924051,0.130208333
Mannose,0.511383538,1.71957672,0.963768116,0.360119048,0.253218884,0.263888889,0.4,0.379487179,0.175368139,0.400390625,0.197718631,0.268041237,0.75,0.223076923,0.185507246,0.412663755,0.963235294,0.223752151,0.269642857,0.067150635,0.109985528,0.156118143,0.083333333
Methionine,0.676007005,0.865961199,1.195652174,0.514880952,2.575107296,0.616666667,1.026923077,0.346153846,0.767068273,0.46875,0.52661597,0.592783505,0.642857143,0.758974359,0.291304348,0.408296943,0.742647059,0.234079174,0.471428571,0.426497278,0.316931983,0.457805907,0.4609375
Methylamine,0.940455342,0.835978836,1.987922705,1.160714286,3.381974249,0.338888889,0.634615385,0.266666667,1.072289157,0.512695313,0.351711027,0.515463918,0.422360248,0.574358974,0.269565217,0.467248908,0.414705882,0.141135972,0.1875,0.388384755,0.264833575,0.345991561,0.3671875
Nicotinate,0.877408056,1.0335097,1.400966184,0.273809524,1.356223176,0.302777778,0.615384615,0.456410256,0.583668005,0.377929688,0.207224335,0.208762887,0.723602484,0.343589744,0.156521739,0.205240175,0.819117647,0.104991394,0.157142857,0.185117967,0.186685962,0.411392405,0.325520833
Oxypurinol,8.243432574,1.278659612,3.483091787,13.10119048,19.48927039,2.466666667,6.146153846,2.342307692,6.437751004,2.616210938,2.448669202,2.422680412,4.577639752,3.074358974,1.08115942,2.737991266,0.969117647,1.156626506,1.041071429,1.611615245,1.882778582,4.259493671,3.018229167
Phenylacetic acid,0.586690018,0.384479718,0.671497585,0.43452381,0.532188841,0.325,0.426923077,0.214102564,0.210174029,0.25,0.148288973,0.118556701,0.450310559,0.115384615,0.131884058,0.170305677,0.258823529,0.068846816,0.230357143,0.168784029,0.105643994,0.339662447,0.091145833
Phenylalanine,0.676007005,0.827160494,1.31884058,0.696428571,3.244635193,1.022222222,0.873076923,0.408974359,0.788487282,0.643554688,0.743346008,0.646907216,0.644409938,1.035897436,0.27826087,0.504366812,1.014705882,0.244406196,0.766071429,0.475499093,0.301013025,0.546413502,0.494791667
Proline,1.415061296,1.195767196,1.400966184,1.357142857,2.201716738,0.652777778,1.153846154,0.88974359,0.6854083,1.124023438,0.876425856,0.878865979,0.645962733,1.069230769,0.602898551,0.834061135,1.114705882,0.204819277,1.35,0.450090744,0.269175109,0.64556962,0.486979167
Propionate,4.95971979,4.215167549,4.983091787,4.154761905,4.317596567,2.963888889,4.484615385,2.757692308,2.309236948,2.647460938,2.918250951,2.466494845,6.107142857,3.156410256,3.371014493,2.866812227,4.389705882,3.068846816,0.844642857,2.268602541,2.487698987,2.700421941,1.638020833
Ribose,2.313485114,1.46031746,7.929951691,6.369047619,9.184549356,1.888888889,3.161538462,2.320512821,4.744310576,3.740234375,1.910646388,1.896907216,3.507763975,3.005128205,0.986956522,2.292576419,5.448529412,1.339070568,0.678571429,1.914700544,1.638205499,2.877637131,1.6015625
Succinate,1.898423818,2.414462081,3.219806763,10.33630952,2.416309013,10.97777778,1.896153846,1.161538462,1.385542169,1.131835938,4.745247148,0.992268041,2.49689441,4.479487179,1.162318841,0.705240175,2.485294118,0.640275387,6.775,0.713248639,0.874095514,1.210970464,1.002604167
Taurine,0.318739054,0.375661376,0.816425121,0.49702381,1.128755365,6.247222222,3.619230769,0.212820513,0.174029451,0.244140625,2.882129278,3.652061856,0.461180124,1.443589744,0.352173913,1.886462882,1.051470588,0.148020654,1.510714286,0.228675136,0.235890014,1.485232068,5.442708333
Threonine,1.520140105,2.186948854,2.033816425,0.714285714,2.772532189,0.877777778,1.153846154,0.508974359,1.042838019,0.692382813,0.730038023,0.538659794,0.513975155,1.533333333,0.234782609,0.489082969,0.922058824,0.383820998,0.503571429,0.421052632,0.328509407,0.516877637,0.338541667
Thymine,0.670753065,0.292768959,0.297101449,0.181547619,0.506437768,0.094444444,0.184615385,0.085897436,0.289156627,0.263671875,0.079847909,0.103092784,0.155279503,0.135897436,0.055072464,0.056768559,0.091176471,0.025817556,0.096428571,0.130671506,0.047756874,0.120253165,0.0859375
Trimethylamine,0.042031524,0.029982363,0.043478261,0.068452381,0.081545064,0.027777778,0.065384615,0.016666667,0.029451138,0.018554688,0.036121673,0.06185567,0.023291925,0.046153846,0.023188406,0.037117904,0.013235294,0.012048193,0.021428571,0.032667877,0.020260492,0.042194093,0.041666667
Tryptophan,0.206654991,0.167548501,0.188405797,0.18452381,0.566523605,0.266666667,0.215384615,0.056410256,0.176706827,0.125,0.08365019,0.103092784,0.127329193,0.243589744,0.071014493,0.054585153,0.077941176,0.037865749,0.155357143,0.11615245,0.073806078,0.143459916,0.083333333
Tyrosine,0.450087566,0.631393298,1.214975845,0.517857143,3.454935622,0.872222222,0.9,0.358974359,0.414993307,0.341796875,0.655893536,0.693298969,0.458074534,0.951282051,0.262318841,0.508733624,0.772058824,0.17211704,0.589285714,0.490018149,0.214182344,0.459915612,0.473958333
UMP,0.527145359,0.544973545,1,0.208333333,1.39055794,0.261111111,0.834615385,0.515384615,0.27978581,0.36328125,0.247148289,0.304123711,0.513975155,0.551282051,0.114492754,0.301310044,0.435294118,0.13253012,0.25,0.261343013,0.20260492,0.681434599,0.325520833
Uracil,13.48861646,12.31216931,16.40338164,3.824404762,13.83690987,0.808333333,2.657692308,2.174358974,8.346720214,8.012695313,0.918250951,0.922680412,3.600931677,2.325641026,0.746376812,0.864628821,4.236764706,0.550774527,0.553571429,1.157894737,0.843704776,1.94092827,0.796875
Urocanate,0.045534151,0.0670194,0.04589372,0.068452381,0.154506438,0.083333333,0.15,0.106410256,0.052208835,0.026367188,0.100760456,0.12628866,0.091614907,0.105128205,0.055072464,0.115720524,0.127941176,0.082616179,0.078571429,0.119782214,0.078147612,0.164556962,0.106770833
Valerate,0.507880911,0.511463845,0.683574879,0.285714286,0.622317597,0.080555556,0.142307692,0.228205128,0.222222222,0.185546875,0.089353612,0.113402062,0.517080745,0.107692308,0.107246377,0.091703057,0.397058824,0.055077453,0.075,0.157894737,0.117221418,0.14556962,0.114583333
Valine,1.464098074,1.698412698,2.280193237,0.910714286,4.377682403,1.533333333,1.465384615,0.81025641,1.504685408,1.3125,1.081749049,0.920103093,1.111801242,1.769230769,0.382608696,0.709606987,2.061764706,0.313253012,0.851785714,0.711433757,0.500723589,1.097046414,0.736979167
Xanthine,5.866900175,6.091710758,8.456521739,1.842261905,11.14592275,1.447222222,2.684615385,2.611538462,4.298527443,2.915039063,1.519011407,1.621134021,4.043478261,2.897435897,1.044927536,0.949781659,4.914705882,0.585197935,0.635714286,1.143375681,1.001447178,1.664556962,1.1328125
Xylose,1.397548161,1.358024691,3.024154589,5.380952381,8.227467811,4.511111111,9.203846154,2.683333333,2.301204819,1.66015625,9.69391635,10.32216495,1.925465839,11.45384615,6.610144928,10.24454148,1.248529412,2.487091222,4.271428571,4.796733212,1.500723589,3.533755274,2.875
p-Cresol,0.126094571,0.111111111,0.082125604,0.053571429,0.364806867,0.05,0.057692308,0.024358974,0.09772423,0.046875,0.091254753,0.157216495,0.054347826,0.061538462,0.073913043,0.102620087,0.038235294,0.018932874,0.041071429,0.083484574,0.054992764,0.05907173,0.088541667
?-Alanine,0.238178634,0.239858907,0.632850242,0.178571429,0.313304721,0.1,0.176923077,0.079487179,0.089692102,0.243164063,0.108365019,0.110824742,0.192546584,0.148717949,0.08115942,0.072052402,0.154411765,0.020654045,0.130357143,0.043557169,0.056439942,0.116033755,0.075520833
